Cluster 1[['2019-02-18 13:40:10', 0.52966, 0.06861, 0.82677, 0.96039, 0.13277, 0.90977, 0.08958, 0.85492, 'err', 'err', 0.0847, 0.60679, 0.31541, 0.44245, 0.45834, 0.43694
Cluster 2, ['2019-02-18 13:40:10', 0.11446, 0.14872, 0.81676, 0.33105, 0.3008, 0.60604, 0.04895, 0.7372, 0.99942, 0.47186, 0.12176, 0.3225, 0.89737, 0.69967, 0.75418, 0.22886
Cluster 3, ['2019-02-18 13:40:10', 0.50873, 0.42307, 0.51368, 0.35096, 0.97837, 0.23806, 0.09595, 0.28184, 0.56815, 0.02686, 'err', 0.46693, 0.06486, 0.92835, 0.49684, 0.80411
Cluster 4, ['2019-02-18 13:40:10', 0.06526, 0.44976, 0.54282, 0.72254, 0.98258, 0.65988, 'err', 0.3393, 'err', 0.80232, 0.59116, 0.02199, 0.42215, 0.52431, 0.64883, 'err'
Cluster 5, ['2019-02-18 13:40:10', 0.44565, 0.3135, 0.46894, 0.09195, 0.59975, 0.24339, 'err', 0.44751, 0.41392, 0.1257, 0.25894, 0.39415, 0.94447, 0.89985, 0.90868, 0.99724
Cluster 6, ['2019-02-18 13:40:10', 0.39939, 0.55352, 'err', 0.60856, 'err', 0.68681, 0.7829, 0.19581, 0.87883, 0.34568, 0.6268, 0.83091, 0.60591, 0.07704, 0.01396, 0.54948
Cluster 7, ['2019-02-18 13:40:10', 0.23019, 0.17138, 0.86802, 0.56917, 0.16545, 0.80055, 0.15573, 0.11408, 0.21005, 0.48599, 0.047, 0.84068, 0.00808, 0.75353, 0.93882, 0.32788
Cluster 8, ['2019-02-18 13:40:10', 0.57365, 0.28411, 0.6598, 0.5308, 0.89287, 0.28508, 0.91937, 0.91181, 0.67429, 0.97927, 0.11057, 0.86755, 0.00279, 0.574, 0.15129, 0.47451
Cluster 9, ['2019-02-18 13:40:10', 0.90183, 0.52994, 0.98637, 0.55126, 0.18124, 0.64386, 0.67805, 0.40716, 0.56014, 0.78988, 0.35065, 0.59953, 0.54742, 0.06465, 0.64743, 0.08088
Cluster 10, ['2019-02-18 13:40:10', 0.33909, 0.21173, 0.27393, 0.95231, 0.1476, 0.54199, 0.08265, 0.63213, 0.31204, 0.08168, 0.53108, 0.48538, 0.48778, 'err', 0.43384, 0.70377
Cluster 11, ['2019-02-18 13:40:10', 0.46692, 0.795, 0.83361, 0.30404, 0.26171, 0.76452, 0.85627, 0.29236, 0.87944, 0.37566, 0.58499, 0.67043, 0.42984, 0.55164, 0.49402, 0.24718
Cluster 12, ['2019-02-18 13:40:10', 0.48649, 0.17464, 0.14086, 0.12763, 0.62708, 0.56994, 0.5245, 0.09117, 0.23405, 0.86288, 0.98726, 0.99044, 0.40874, 0.33505, 0.8258, 0.11646
Cluster 13, ['2019-02-18 13:40:10', 'err', 0.75739, 0.83293, 0.31228, 0.88547, 0.95896, 0.10455, 'err', 0.47886, 0.59851, 0.61858, 0.17313, 0.95259, 0.42558, 'err', 0.36382
Cluster 14, ['2019-02-18 13:40:10', 0.78123, 0.9859, 0.33958, 'err', 0.52758, 0.72391, 0.7847, 'err', 0.10816, 0.96201, 0.53204, 0.85601, 0.34634, 0.55573, 'err', 0.57391
Cluster 15, ['2019-02-18 13:40:10', 0.60788, 0.56461, 0.7104, 0.5886, 0.20051, 0.2764, 0.57324, 0.29301, 0.11488, 0.84153, 0.6892, 0.76284, 0.62495, 0.49578, 0.95281, 0.73502
